0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('allah', 90)","('ne', 88)","('edin', 83)","('insanlar', 80)","('afadbaskanlik', 77)","('hala', 70)","('mahallesi', 70)","('kadar', 57)","('nolur', 57)","('olan', 55)","('da', 52)","('haber', 52)","('en', 52)","('acil', 50)","('antakya', 49)","('saat', 48)","('allahım', 46)","('göçük', 46)","('arkadaşlar', 45)","('sen', 44)","('oldu', 43)","('ama', 43)","('daha', 42)","('ya', 41)","('insan', 41)"
"('ne', 176)","('afadbaskanlik', 166)","('mahallesi', 157)","('edin', 155)","('allah', 142)","('hala', 139)","('insanlar', 134)","('haber', 126)","('de', 109)","('sokak', 100)","('da', 97)","('kadar', 88)","('acil', 87)","('daha', 84)","('erparlar', 81)","('hiç', 79)","('apartmanı', 78)","('olan', 77)","('ya', 76)","('depremdairesi', 74)","('ama', 71)","('göçük', 71)","('nolur', 71)","('ahbap', 70)","('2', 69)"
"('afadbaskanlik', 278)","('hala', 255)","('ne', 237)","('edin', 224)","('mahallesi', 219)","('da', 199)","('insanlar', 179)","('haber', 171)","('allah', 168)","('daha', 160)","('acil', 157)","('ahbap', 152)","('göçük', 139)","('ama', 138)","('depremdairesi', 135)","('kadar', 131)","('kahramanmaraş', 128)","('olan', 119)","('de', 117)","('ya', 113)","('arkadaşlar', 112)","('antakya', 110)","('insan', 110)","('artık', 109)","('mah', 107)"
"('afadbaskanlik', 433)","('mahallesi', 419)","('ne', 303)","('hala', 286)","('edin', 276)","('haber', 273)","('acil', 263)","('da', 258)","('ahbap', 245)","('arkadaşlar', 238)","('allah', 223)","('insanlar', 213)","('olan', 213)","('depremdairesi', 211)","('kadar', 206)","('daha', 200)","('apartmanı', 193)","('ama', 184)","('yayalım', 182)","('de', 178)","('kahramanmaraş', 177)","('caddesi', 171)","('sokak', 168)","('mah', 162)","('göçük', 161)"
"('afadbaskanlik', 462)","('mahallesi', 372)","('haber', 330)","('arkadaşlar', 327)","('olan', 313)","('ne', 301)","('yayalım', 296)","('ahbap', 287)","('edin', 271)","('hala', 255)","('acil', 240)","('da', 240)","('depremdairesi', 217)","('allah', 202)","('kadar', 192)","('de', 191)","('insanlar', 187)","('yayalim', 183)","('sokak', 180)","('antakya', 180)","('daha', 179)","('mah', 174)","('kahramanmaraş', 174)","('apartmanı', 171)","('aci̇l', 156)"
"('afadbaskanlik', 351)","('olan', 267)","('mahallesi', 260)","('arkadaşlar', 258)","('haber', 254)","('ahbap', 242)","('ne', 224)","('edin', 220)","('yayalım', 211)","('da', 207)","('allah', 192)","('hala', 188)","('acil', 186)","('yayalim', 171)","('insanlar', 170)","('aci̇l', 165)","('de', 162)","('sokak', 156)","('kahramanmaraş', 147)","('depremdairesi', 146)","('daha', 139)","('kadar', 135)","('göçük', 134)","('apartmanı', 128)","('varsa', 124)"
"('afadbaskanlik', 339)","('mahallesi', 259)","('haber', 255)","('olan', 241)","('arkadaşlar', 231)","('aci̇l', 205)","('ne', 202)","('edin', 201)","('acil', 196)","('hala', 196)","('da', 195)","('depremdairesi', 193)","('allah', 182)","('ahbap', 181)","('kahramanmaraş', 168)","('daha', 167)","('yayalım', 161)","('de', 161)","('kadar', 159)","('yayalim', 151)","('göçük', 140)","('insanlar', 135)","('ama', 131)","('rt', 129)","('sokak', 124)"
"('afadbaskanlik', 326)","('mahallesi', 299)","('arkadaşlar', 270)","('da', 248)","('ne', 247)","('hala', 240)","('ahbap', 228)","('haber', 227)","('yayalım', 221)","('olan', 213)","('edin', 210)","('allah', 206)","('kadar', 194)","('depremdairesi', 185)","('acil', 184)","('de', 182)","('daha', 173)","('ama', 166)","('kahramanmaraş', 166)","('aci̇l', 157)","('sokak', 154)","('insanlar', 150)","('antakya', 146)","('yayalim', 143)","('nolur', 142)"
"('afadbaskanlik', 378)","('mahallesi', 353)","('arkadaşlar', 346)","('acil', 278)","('olan', 270)","('da', 266)","('ahbap', 248)","('yayalım', 241)","('edin', 238)","('haber', 233)","('aci̇l', 232)","('ne', 230)","('allah', 228)","('kadar', 220)","('yayalim', 203)","('hala', 201)","('kahramanmaraş', 194)","('de', 192)","('daha', 175)","('depremdairesi', 167)","('sokak', 162)","('vinç', 162)","('ama', 154)","('rt', 150)","('caddesi', 149)"
"('yayalım', 349)","('afadbaskanlik', 325)","('mahallesi', 286)","('arkadaşlar', 280)","('ahbap', 263)","('ne', 248)","('acil', 217)","('da', 206)","('allah', 199)","('olan', 187)","('hala', 185)","('haber', 175)","('daha', 171)","('edin', 170)","('kahramanmaraş', 169)","('kadar', 168)","('de', 162)","('aci̇l', 159)","('sokak', 158)","('depremdairesi', 152)","('babalatv', 150)","('ama', 136)","('yayalim', 135)","('rt', 131)","('mah', 126)"
