0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('affected', 300)","('team', 287)","('country', 250)","('toll', 240)","('pray', 225)","('time', 208)","('u', 190)","('relief', 183)","('one', 180)","('need', 180)","('devastating', 180)","('victim', 176)","('please', 176)","('life', 173)","('disaster', 170)","('magnitude', 167)","('hit', 165)","('support', 161)","('condolence', 158)","('family', 155)","('area', 146)","('5000', 145)","('india', 141)","('injured', 136)","('thousand', 135)"
"('affected', 276)","('team', 246)","('need', 237)","('pray', 230)","('u', 228)","('please', 223)","('victim', 214)","('time', 206)","('support', 192)","('5000', 187)","('brother', 185)","('life', 185)","('relief', 183)","('country', 183)","('toll', 180)","('disaster', 179)","('one', 178)","('hit', 178)","('devastating', 175)","('thousand', 166)","('family', 155)","('magnitude', 146)","('building', 144)","('injured', 143)","('turkish', 143)"
"('affected', 331)","('please', 269)","('disaster', 247)","('country', 241)","('life', 230)","('one', 212)","('support', 211)","('victim', 211)","('team', 211)","('u', 210)","('need', 208)","('pray', 197)","('turkish', 189)","('area', 185)","('donate', 181)","('time', 180)","('family', 173)","('report', 173)","('emergency', 172)","('devastating', 168)","('brother', 168)","('relief', 167)","('heart', 167)","('world', 166)","('hit', 163)"
"('affected', 289)","('need', 255)","('disaster', 243)","('country', 224)","('area', 222)","('team', 215)","('please', 209)","('support', 203)","('victim', 191)","('report', 184)","('time', 181)","('u', 180)","('one', 178)","('pray', 172)","('brother', 171)","('heart', 159)","('devastating', 156)","('life', 154)","('world', 153)","('hit', 150)","('donate', 150)","('relief', 148)","('family', 142)","('many', 137)","('impact', 131)"
"('please', 219)","('affected', 212)","('country', 211)","('need', 208)","('u', 207)","('victim', 203)","('life', 201)","('team', 189)","('donate', 186)","('time', 182)","('support', 182)","('one', 181)","('disaster', 179)","('pray', 171)","('report', 162)","('family', 161)","('devastating', 156)","('brother', 155)","('area', 154)","('emergency', 140)","('god', 137)","('relief', 137)","('syrian', 136)","('turkish', 131)","('hit', 129)"
"('need', 196)","('please', 190)","('victim', 181)","('country', 167)","('u', 164)","('disaster', 163)","('affected', 155)","('team', 154)","('family', 148)","('one', 147)","('time', 145)","('life', 138)","('devastating', 136)","('support', 134)","('donate', 133)","('pray', 130)","('world', 115)","('heart', 114)","('toll', 112)","('area', 111)","('relief', 110)","('syrian', 110)","('god', 109)","('hour', 107)","('brother', 103)"
"('need', 154)","('please', 153)","('u', 151)","('support', 138)","('country', 132)","('affected', 128)","('time', 127)","('one', 122)","('donate', 110)","('life', 106)","('victim', 103)","('team', 97)","('turkish', 92)","('world', 89)","('disaster', 87)","('ago', 86)","('toll', 82)","('pray', 81)","('report', 79)","('syrian', 78)","('family', 77)","('many', 77)","('info', 73)","('area', 72)","('thousand', 71)"
"('please', 111)","('report', 106)","('need', 104)","('time', 104)","('u', 96)","('area', 94)","('disaster', 87)","('support', 81)","('team', 78)","('country', 77)","('ago', 76)","('info', 74)","('donate', 74)","('life', 73)","('family', 71)","('affected', 69)","('one', 68)","('min', 65)","('victim', 64)","('safety', 64)","('use', 62)","('toll', 61)","('magnitude', 61)","('data', 61)","('world', 60)"
"('report', 78)","('disaster', 73)","('please', 68)","('team', 64)","('need', 60)","('area', 60)","('toll', 53)","('country', 52)","('u', 52)","('affected', 51)","('family', 49)","('time', 48)","('life', 48)","('support', 46)","('one', 45)","('pray', 45)","('many', 44)","('donate', 44)","('devastating', 44)","('i’m', 44)","('thousand', 43)","('data', 43)","('victim', 41)","('reply', 41)","('god', 41)"
"('toll', 93)","('report', 83)","('time', 82)","('disaster', 76)","('life', 71)","('team', 68)","('u', 67)","('country', 63)","('victim', 62)","('need', 60)","('hit', 60)","('pray', 60)","('area', 58)","('affected', 58)","('one', 58)","('devastating', 57)","('family', 56)","('heart', 55)","('brother', 55)","('please', 54)","('building', 53)","('support', 50)","('relief', 49)","('child', 48)","('world', 48)"
