0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('yardım', 300)","('lütfen', 256)","('bir', 237)","('yok', 192)","('bu', 188)","('çok', 179)","('var', 164)","('enkaz', 141)","('altında', 134)","('deprem', 91)","('allah', 90)","('yardim', 89)","('ne', 88)","('edin', 83)","('için', 81)","('insanlar', 80)","('afadbaskanlik', 77)","('haluklevent', 77)","('hatay', 77)","('olsun', 72)","('hala', 70)","('mahallesi', 70)","('kadar', 57)","('nolur', 57)","('olan', 55)"
"('yardım', 555)","('lütfen', 382)","('bir', 374)","('bu', 305)","('yok', 292)","('var', 260)","('çok', 235)","('enkaz', 212)","('için', 183)","('altında', 176)","('ne', 176)","('afadbaskanlik', 166)","('deprem', 164)","('mahallesi', 157)","('yardim', 155)","('edin', 155)","('hatay', 143)","('allah', 142)","('hala', 139)","('haluklevent', 134)","('insanlar', 134)","('haber', 126)","('de', 109)","('sokak', 100)","('da', 97)"
"('yardım', 830)","('lütfen', 748)","('bir', 622)","('bu', 501)","('var', 454)","('yok', 397)","('enkaz', 335)","('altında', 327)","('çok', 320)","('haluklevent', 285)","('afadbaskanlik', 278)","('için', 271)","('yardim', 270)","('deprem', 269)","('hala', 255)","('ne', 237)","('edin', 224)","('mahallesi', 219)","('hatay', 206)","('da', 199)","('insanlar', 179)","('olsun', 172)","('haber', 171)","('allah', 168)","('daha', 160)"
"('yardım', 1192)","('lütfen', 1143)","('bir', 830)","('bu', 693)","('var', 665)","('yok', 560)","('enkaz', 521)","('çok', 515)","('için', 446)","('yardim', 446)","('afadbaskanlik', 433)","('mahallesi', 419)","('altında', 405)","('haluklevent', 403)","('hatay', 373)","('deprem', 359)","('ne', 303)","('hala', 286)","('edin', 276)","('haber', 273)","('olsun', 263)","('acil', 263)","('da', 258)","('ahbap', 245)","('arkadaşlar', 238)"
"('lütfen', 1371)","('yardım', 1136)","('bu', 734)","('bir', 694)","('var', 656)","('enkaz', 554)","('haluklevent', 501)","('afadbaskanlik', 462)","('için', 460)","('yardim', 457)","('yok', 437)","('hatay', 433)","('çok', 425)","('altında', 419)","('deprem', 392)","('mahallesi', 372)","('haber', 330)","('arkadaşlar', 327)","('oguzhanugur', 317)","('olan', 313)","('ne', 301)","('yayalım', 296)","('ahbap', 287)","('edin', 271)","('olsun', 257)"
"('lütfen', 1098)","('yardım', 879)","('bu', 640)","('bir', 619)","('var', 520)","('enkaz', 433)","('için', 410)","('çok', 397)","('haluklevent', 395)","('yok', 380)","('yardim', 359)","('deprem', 356)","('afadbaskanlik', 351)","('altında', 324)","('hatay', 279)","('olan', 267)","('mahallesi', 260)","('arkadaşlar', 258)","('haber', 254)","('ahbap', 242)","('oguzhanugur', 231)","('ne', 224)","('edin', 220)","('yayalım', 211)","('da', 207)"
"('lütfen', 1030)","('yardım', 787)","('bir', 672)","('bu', 622)","('var', 471)","('için', 388)","('çok', 388)","('deprem', 371)","('yardim', 362)","('yok', 360)","('enkaz', 348)","('haluklevent', 345)","('afadbaskanlik', 339)","('hatay', 264)","('mahallesi', 259)","('haber', 255)","('altında', 249)","('olan', 241)","('arkadaşlar', 231)","('oguzhanugur', 216)","('olsun', 216)","('aci̇l', 205)","('ne', 202)","('edin', 201)","('acil', 196)"
"('lütfen', 1047)","('yardım', 820)","('bu', 679)","('bir', 646)","('var', 594)","('çok', 477)","('haluklevent', 436)","('için', 416)","('hatay', 401)","('enkaz', 395)","('yok', 388)","('yardim', 350)","('deprem', 337)","('afadbaskanlik', 326)","('oguzhanugur', 324)","('altında', 309)","('mahallesi', 299)","('arkadaşlar', 270)","('da', 248)","('ne', 247)","('hala', 240)","('ahbap', 228)","('haber', 227)","('olsun', 223)","('yayalım', 221)"
"('lütfen', 1205)","('yardım', 871)","('bir', 727)","('bu', 667)","('var', 587)","('çok', 560)","('haluklevent', 495)","('için', 436)","('enkaz', 399)","('hatay', 398)","('yok', 393)","('oguzhanugur', 389)","('afadbaskanlik', 378)","('mahallesi', 353)","('deprem', 351)","('arkadaşlar', 346)","('altında', 311)","('yardim', 309)","('acil', 278)","('olan', 270)","('da', 266)","('ahbap', 248)","('yayalım', 241)","('edin', 238)","('haber', 233)"
"('lütfen', 1131)","('yardım', 716)","('bir', 652)","('bu', 637)","('var', 512)","('çok', 448)","('haluklevent', 438)","('yok', 360)","('oguzhanugur', 360)","('enkaz', 357)","('için', 351)","('yayalım', 349)","('afadbaskanlik', 325)","('hatay', 303)","('yardim', 298)","('mahallesi', 286)","('arkadaşlar', 280)","('deprem', 275)","('ahbap', 263)","('altında', 256)","('ne', 248)","('acil', 217)","('da', 206)","('allah', 199)","('olan', 187)"
"('lütfen', 602)","('yardım', 430)","('bir', 395)","('bu', 388)","('çok', 333)","('var', 290)","('haluklevent', 233)","('enkaz', 219)","('yok', 200)","('için', 195)","('oguzhanugur', 190)","('afadbaskanlik', 183)","('mahallesi', 169)","('yardim', 163)","('altında', 157)","('hatay', 154)","('aci̇l', 145)","('deprem', 142)","('ne', 138)","('ahbap', 133)","('acil', 130)","('arkadaşlar', 127)","('olan', 119)","('olsun', 118)","('kadar', 112)"
"('lütfen', 172)","('var', 168)","('bir', 155)","('yardım', 138)","('bu', 127)","('çok', 117)","('yok', 93)","('mahallesi', 82)","('hatay', 82)","('enkaz', 78)","('s', 72)","('yardim', 69)","('haluklevent', 66)","('deprem', 59)","('oguzhanugur', 59)","('afadbaskanlik', 54)","('altında', 53)","('için', 53)","('acil', 50)","('allah', 49)","('olsun', 47)","('daha', 46)","('hala', 46)","('ne', 45)","('arkadaşlar', 43)"
"('bu', 76)","('bir', 63)","('lütfen', 63)","('var', 62)","('yardım', 56)","('çok', 49)","('yok', 39)","('enkaz', 35)","('allah', 34)","('deprem', 29)","('için', 28)","('ne', 27)","('altında', 26)","('afadbaskanlik', 26)","('de', 25)","('da', 25)","('mahallesi', 23)","('hala', 23)","('hatay', 21)","('s', 20)","('kadar', 20)","('daha', 19)","('haluklevent', 19)","('yardim', 19)","('olsun', 19)"
"('bir', 177)","('bu', 166)","('yardım', 149)","('lütfen', 140)","('var', 124)","('için', 85)","('çok', 82)","('enkaz', 78)","('yok', 71)","('deprem', 67)","('ne', 63)","('altında', 62)","('olsun', 59)","('haluklevent', 56)","('hala', 51)","('allah', 51)","('mahallesi', 48)","('de', 46)","('da', 46)","('ama', 41)","('hatay', 40)","('oguzhanugur', 38)","('daha', 37)","('edin', 37)","('olan', 34)"
"('lütfen', 335)","('yardım', 329)","('bir', 313)","('bu', 305)","('var', 242)","('enkaz', 190)","('çok', 169)","('deprem', 165)","('için', 161)","('haluklevent', 153)","('yok', 141)","('altında', 132)","('ne', 118)","('olsun', 112)","('mahallesi', 112)","('afadbaskanlik', 111)","('oguzhanugur', 109)","('hatay', 103)","('da', 96)","('ahbap', 95)","('hala', 88)","('acil', 87)","('edin', 86)","('de', 84)","('allah', 82)"
"('lütfen', 663)","('yardım', 582)","('bu', 470)","('bir', 458)","('var', 449)","('çok', 333)","('haluklevent', 294)","('için', 287)","('enkaz', 254)","('deprem', 252)","('yok', 238)","('afadbaskanlik', 237)","('oguzhanugur', 236)","('hatay', 231)","('mahallesi', 201)","('acil', 194)","('ahbap', 188)","('yardim', 181)","('altında', 172)","('arkadaşlar', 171)","('ne', 161)","('olan', 161)","('olsun', 152)","('allah', 148)","('da', 148)"
"('lütfen', 735)","('yardım', 573)","('bir', 530)","('bu', 503)","('var', 453)","('çok', 336)","('için', 324)","('haluklevent', 285)","('deprem', 269)","('oguzhanugur', 243)","('yok', 242)","('afadbaskanlik', 236)","('enkaz', 218)","('yardim', 198)","('hatay', 196)","('arkadaşlar', 193)","('da', 190)","('ahbap', 183)","('acil', 179)","('mahallesi', 179)","('ne', 167)","('allah', 162)","('altında', 156)","('olan', 156)","('de', 155)"
"('lütfen', 601)","('yardım', 480)","('bir', 468)","('bu', 432)","('var', 356)","('için', 298)","('çok', 278)","('haluklevent', 273)","('enkaz', 215)","('oguzhanugur', 204)","('deprem', 200)","('arkadaşlar', 199)","('mahallesi', 194)","('afadbaskanlik', 182)","('ahbap', 168)","('yok', 167)","('altında', 164)","('acil', 159)","('ne', 159)","('da', 148)","('yayalım', 146)","('yardim', 136)","('babalatv', 133)","('olsun', 129)","('hatay', 128)"
"('bu', 378)","('lütfen', 374)","('bir', 372)","('yardım', 324)","('var', 268)","('için', 247)","('çok', 195)","('enkaz', 169)","('ne', 167)","('haluklevent', 154)","('da', 145)","('deprem', 135)","('arkadaşlar', 121)","('mahallesi', 120)","('twitter', 118)","('altında', 114)","('vpn', 113)","('allah', 113)","('afadbaskanlik', 112)","('oguzhanugur', 110)","('yardim', 108)","('ahbap', 100)","('olan', 100)","('olsun', 99)","('yok', 99)"
